cis_name,name,lat,lon,country_code,region,district
"Stará Bystrica,,ZŠ","Stará Bystrica, ZŠ",49.34748,18.94564,SK,Žilinský,Čadca
"Stará Bystrica,,nám.","Stará Bystrica, nám.",49.34635,18.93709,SK,Žilinský,Čadca
"Stará Bystrica,,Hamer","Stará Bystrica, Hamer",49.34315,18.92822,SK,Žilinský,Čadca
"Stará Bystrica,,Kanderovia","Stará Bystrica, Kanderovia",49.34382,18.91826,SK,Žilinský,Čadca
"Stará Bystrica,,Budošovia","Stará Bystrica, Budošovia",49.34767,18.90898,SK,Žilinský,Čadca
"Stará Bystrica,,Šimáškovia","Stará Bystrica, Šimáškovia",49.34925,18.90283,SK,Žilinský,Čadca
"Klubina,,Lodňánek","Klubina, Lodňánek",49.35328,18.89625,SK,Žilinský,Čadca
"Klubina,,Sniegon","Klubina, Sniegon",49.35783,18.8966,SK,Žilinský,Čadca
"Zborov n.Bystricou,,Backovia","Zborov nad Bystricou, Backovia",49.36993,18.90017,SK,Žilinský,Čadca
"Zborov n.Bystricou,,p.Rubáňom","Zborov nad Bystricou, pod Rubáňom",49.37512,18.89131,SK,Žilinský,Čadca
"Zborov n.Bystricou,,ZŠ","Zborov nad Bystricou, ZŠ",49.38106,18.88411,SK,Žilinský,Čadca
"Zborov n.Bystricou,,U Komanov","Zborov nad Bystricou, U Komanov",49.38791,18.87453,SK,Žilinský,Čadca
"Krásno n.Kysucou,Kalinov","Krásno nad Kysucou, Kalinov",49.39409,18.86236,SK,Žilinský,Čadca
"Krásno n.Kysucou,,Jozefíkovci","Krásno nad Kysucou, Jozefíkovci",49.39796,18.85103,SK,Žilinský,Čadca
"Krásno n.Kysucou,,rázc.","Krásno nad Kysucou, rázc.",49.40005,18.84172,SK,Žilinský,Čadca
"Čadca,,žel.zast.mesto","Čadca, žel.zast.mesto",49.43584,18.7939,SK,Žilinský,Čadca
"Čadca,,aut.st.","Čadca, aut.st.",49.44502,18.78553,SK,Žilinský,Čadca
"Krásno n.Kysucou,,sídl.Struhy","Krásno nad Kysucou, sídl.Struhy",49.39782,18.83831,SK,Žilinský,Čadca
"Krásno n.Kysucou,,ústredie","Krásno nad Kysucou, ústredie",49.39181,18.83217,SK,Žilinský,Čadca
"Krásno n.Kysucou,,pri moste","Krásno nad Kysucou, pri moste",49.38706,18.83498,SK,Žilinský,Čadca
"Krásno n.Kysucou,,Zákysučie","Krásno nad Kysucou, Zákysučie",49.38188,18.83544,SK,Žilinský,Čadca
"Krásno n.Kysucou,,žel.st.","Krásno nad Kysucou, žel.st.",49.37839,18.83638,SK,Žilinský,Čadca
"Kysucký Lieskovec,,hlavná cesta","Kysucký Lieskovec, hlavná cesta",49.33764,18.80878,SK,Žilinský,Kysucké Nové Mesto
"Kysucké N.Mesto,,aut.st.","Kysucké Nové Mesto, AS",49.30473,18.7834,SK,Žilinský,Kysucké Nové Mesto
"Kysucké N.Mesto,,Vajanského","Kysucké Nové Mesto, Vajanského",49.30095,18.78374,SK,Žilinský,Kysucké Nové Mesto
"Žilina,,AS","Žilina, AS",49.22463,18.74769,SK,Žilinský,Žilina
"Lipt.Hrádok,,žel.st.","Liptovský Hrádok, žel.st.",49.03792,19.72001,SK,Žilinský,Liptovský Mikuláš
"Podtureň,Roveň","Podtureň, Roveň",49.04035,19.70801,SK,Žilinský,Liptovský Mikuláš
"Podtureň,,žel.zast.","Podtureň, žel.zast.",49.05736,19.69631,SK,Žilinský,Liptovský Mikuláš
"Uhorská Ves,,rázc.","Uhorská Ves, rázc.",49.06389,19.68595,SK,Žilinský,Liptovský Mikuláš
"Uhorská Ves,,centrum","Uhorská Ves, centrum",49.05915,19.68112,SK,Žilinský,Liptovský Mikuláš
"Lipt.Ján,,ul.Nová bytovky","Liptovský Ján, ul.Nová bytovky",49.05282,19.67844,SK,Žilinský,Liptovský Mikuláš
"Lipt.Ján,,ul.Nová Jednota","Liptovský Ján, ul.Nová Jednota",49.04786,19.67613,SK,Žilinský,Liptovský Mikuláš
"Lipt.Ján,,zot.Ďumbier","Liptovský Ján, zot.Ďumbier",49.03354,19.67385,SK,Žilinský,Liptovský Mikuláš
"Lipt.Teplá,,rázc.","Liptovská Teplá, rázc.",49.10031,19.40535,SK,Žilinský,Ružomberok
"Lipt.Teplá,,nám.","Liptovská Teplá, nám.",49.10286,19.40923,SK,Žilinský,Ružomberok
"Lipt.Teplá,,žel.st.","Liptovská Teplá, žel.st.",49.09945,19.41656,SK,Žilinský,Ružomberok
